Metal,Group,Potential_Energy
Yb,Lanthanides,-1637040.0
Er,Lanthanides,-1635920.0
Eu,Lanthanides,-1633300.0
Sm,Lanthanides,-1632500.0
Ni,Transition_Metals,-1630390.0
Cu,Transition_Metals,-1615550.0
Pd,Transition_Metals,-1612720.0
Co,Transition_Metals,-1612720.0
Mg,Alkaline_Earth_Metals,-1612500.0
V,Early_Transition_Metals,-1612200.0
Fe,Transition_Metals,-1612140.0
Cr,Early_Transition_Metals,-1612060.0
Zn,Transition_Metals,-1611800.0
Mn,Transition_Metals,-1611760.0
Ca,Alkaline_Earth_Metals,-1610880.0
Cd,Transition_Metals,-1610750.0
Sn,Post_Transition_Metals,-1608170.0
Pb,Post_Transition_Metals,-1607200.0
Ba,Alkaline_Earth_Metals,-1606740.0
Sr,Alkaline_Earth_Metals,-1606250.0
Ra,Alkaline_Earth_Metals,-1605190.0
