Metal,Hardness_MPa,CFSE_Dq,Biocompatibility,Lindemann_CV,dUtopia_norm
Ni,350.79,1.2,0.03,0.102505,100.0
Cr,238.04,1.2,0.08,0.139921,50.0
Pd,208.02,1.2,0.14,0.045042,100.0
Cu,290.55,0.6,0.01,0.182461,87.5
Co,201.73,0.8,0.03,0.043954,87.5
Zn,292.26,0.0,0.02,0.19926,75.0
Eu,332.07,0.0,0.23,0.133956,0.0
Mn,287.22,0.0,0.11,0.166186,62.5
Fe,214.12,0.4,0.06,0.158997,75.0
Yb,309.04,0.0,0.15,0.177685,0.0
Sn,275.01,0.0,0.03,0.10338,0.0
Pb,318.91,0.0,0.47,0.100448,0.0
Er,264.49,0.0,0.17,0.157378,0.0
Cd,233.44,0.0,0.23,0.144329,75.0
Sm,253.02,0.0,0.24,0.129943,0.0
Sr,272.41,0.0,0.46,0.096184,0.0
V,113.2,0.6,0.07,0.140121,37.5
Ba,289.96,0.0,0.63,0.09843,0.0
Ca,237.1,0.0,0.28,0.139449,0.0
Mg,173.94,0.0,0.0,0.042066,0.0
Ra,232.39,0.0,0.76,0.07834,0.0
