cn_cv,cn_mean,cn_std,lindemann_cv,lindemann_mean,lindemann_std,metal
27.883283755467904,7.4597999999999995,2.0800372015903945,2.1774401664733887,0.09843014180660248,0.0021432575304061174,Ba
38.90394387036232,5.436400000000001,2.1149740045683774,9.439629,0.13944948,0.013163513,Ca
29.882266092016273,5.4886,1.6401180567264053,10.739152908325195,0.14432880282402039,0.015499690547585487,Cd
262.8578032656534,0.7922,2.0823595174705063,162.13828,0.043953605,0.071265616,Co
83.01570564681613,4.6006,3.819220553987423,72.92683,0.18246076,0.13306284,Cu
44.98864713142127,5.976999999999999,2.6889714390450488,9.788321,0.15737772,0.015404636,Er
24.594119876256983,5.2026,1.279533680682146,6.9319725,0.13395615,0.009285804,Eu
71.66303915981509,3.5824,2.567256714861215,55.49914,0.15899715,0.088242054,Fe
257.4131909307525,0.6344,1.6330292832646938,157.66382,0.042065773,0.066322505,Mg
42.96806452171262,4.9856,2.1422158247945045,8.979819,0.16618557,0.014923164,Mn
38.75374779668597,6.747200000000001,2.6147928713379955,1.4130021,0.102504626,0.0014483925,Ni
32.18428998299904,6.9534,2.237902419677856,1.6963938,0.10044849,0.0017040019,Pb
227.6049516114872,0.5192,1.1817249087668416,164.21133,0.04504169,0.07396356,Pd
46.18390983422031,7.444800000000001,3.438299719338034,5.7433186,0.078339696,0.004499298,Ra
30.520489941835518,5.6444,1.7226985342769638,11.039949,0.12994304,0.014345646,Sm
41.23391751755913,5.2912,2.1817690436890884,3.0381124,0.10337986,0.0031407964,Sn
17.043889569988092,7.181400000000001,1.2239898855791251,2.1894965,0.096184134,0.0021059483,Sr
16.46088086984629,8.1538,1.3421873043655268,5.835201,0.17768542,0.0103683015,Yb
55.24539834766308,4.2628,2.3550008407641814,5.840445,0.19926035,0.011637691,Zn
