Metal,Physics_Score,Experimental
Ni,282.19319958377395,467.5
Eu,233.59940971959892,
Cr,230.86775398758945,
Pb,229.71754437398917,
Yb,218.6807871610701,
Pd,210.65429101075213,
Ba,209.66317406060742,
Zn,209.0179735482068,
Sr,199.2231838265604,
Sn,195.2422512521242,
Mn,193.9919783295527,
Co,182.91123364443064,380.0
Cu,180.85952780384937,280.0
Er,180.69165766481817,
Sm,178.08285081053776,
Ca,172.19451347228892,
Fe,166.18046858647782,
Cd,163.1560508687175,
Ra,161.84705818220485,
Mg,149.61934401206096,320.0
V,105.61642002773183,
